date,value
1/1/2001,2.9
2/1/2001,3
3/1/2001,2.9
4/1/2001,2.5
5/1/2001,2.7
6/1/2001,3
7/1/2001,3.3
8/1/2001,3.2
9/1/2001,2.8
10/1/2001,2.9
11/1/2001,3
12/1/2001,2.9
1/1/2002,4.2
2/1/2002,4.2
3/1/2002,4
4/1/2002,3.9
5/1/2002,4
6/1/2002,4.4
7/1/2002,4.7
8/1/2002,4.6
9/1/2002,4.4
10/1/2002,4.4
11/1/2002,4.7
12/1/2002,4.7
1/1/2003,5.8
2/1/2003,5.9
3/1/2003,5.7
4/1/2003,5.3
5/1/2003,5.4
6/1/2003,5.8
7/1/2003,5.8
8/1/2003,5.6
9/1/2003,5.3
10/1/2003,5.1
11/1/2003,5.1
12/1/2003,4.7
1/1/2004,5.8
2/1/2004,5.7
3/1/2004,5.6
4/1/2004,4.8
5/1/2004,5.1
6/1/2004,5.2
7/1/2004,5.3
8/1/2004,5
9/1/2004,4.6
10/1/2004,4.5
11/1/2004,4.6
12/1/2004,4.3
1/1/2005,5.5
2/1/2005,5.6
3/1/2005,5.2
4/1/2005,4.7
5/1/2005,4.9
6/1/2005,5
7/1/2005,5.1
8/1/2005,4.7
9/1/2005,4.6
10/1/2005,4.4
11/1/2005,4.5
12/1/2005,4.1
1/1/2006,5
2/1/2006,5.1
3/1/2006,4.6
4/1/2006,4.1
5/1/2006,4.3
6/1/2006,4.4
7/1/2006,4.8
8/1/2006,4.5
9/1/2006,4.2
10/1/2006,3.9
11/1/2006,4.1
12/1/2006,3.9
1/1/2007,5
2/1/2007,5
3/1/2007,4.5
4/1/2007,4.1
5/1/2007,4.4
6/1/2007,4.5
7/1/2007,4.8
8/1/2007,4.5
9/1/2007,4.4
10/1/2007,4.3
11/1/2007,4.4
12/1/2007,4.5
1/1/2008,5.5
2/1/2008,5.4
3/1/2008,5.3
4/1/2008,4.6
5/1/2008,5.4
6/1/2008,5.5
7/1/2008,6
8/1/2008,6
9/1/2008,5.7
10/1/2008,5.8
11/1/2008,5.9
12/1/2008,6.3
1/1/2009,7.7
2/1/2009,8.1
3/1/2009,8
4/1/2009,7.6
5/1/2009,8
6/1/2009,8.2
7/1/2009,8.6
8/1/2009,8.6
9/1/2009,8.5
10/1/2009,8.5
11/1/2009,8.4
12/1/2009,8.7
1/1/2010,10.1
2/1/2010,10.2
3/1/2010,9.9
4/1/2010,9.3
5/1/2010,9.4
6/1/2010,9.3
7/1/2010,9.7
8/1/2010,9.6
9/1/2010,9.2
10/1/2010,9.2
11/1/2010,9.3
12/1/2010,9.1
1/1/2011,10.1
2/1/2011,10
3/1/2011,9.5
4/1/2011,8.8
5/1/2011,9.1
6/1/2011,9.2
7/1/2011,9.3
8/1/2011,9.1
9/1/2011,8.7
10/1/2011,8.5
11/1/2011,8
12/1/2011,7.9
1/1/2012,8.9
2/1/2012,8.9
3/1/2012,8.5
4/1/2012,7.9
5/1/2012,8.3
6/1/2012,8.5
7/1/2012,9
8/1/2012,8.8
9/1/2012,8.1
10/1/2012,8.1
11/1/2012,7.8
12/1/2012,7.8
1/1/2013,9
2/1/2013,8.8
3/1/2013,8.3
4/1/2013,7.7
5/1/2013,8.1
6/1/2013,8.2
7/1/2013,8.4
8/1/2013,8
9/1/2013,7.6
10/1/2013,7.6
11/1/2013,7
12/1/2013,6.7
1/1/2014,7.6
2/1/2014,7.7
3/1/2014,7.4
4/1/2014,6.3
5/1/2014,6.6
6/1/2014,6.5
7/1/2014,7.1
8/1/2014,6.8
9/1/2014,6.2
10/1/2014,6
11/1/2014,5.8
12/1/2014,5.4
1/1/2015,6.5
2/1/2015,6.4
3/1/2015,6
4/1/2015,5.4
5/1/2015,5.7
6/1/2015,5.6
7/1/2015,5.9
8/1/2015,5.6
9/1/2015,5.2
10/1/2015,5.2
11/1/2015,5
12/1/2015,4.9
1/1/2016,5.7
2/1/2016,5.7
3/1/2016,5.4
4/1/2016,4.8
5/1/2016,4.8
6/1/2016,5
7/1/2016,5.1
8/1/2016,4.9
9/1/2016,4.5
10/1/2016,4.4
11/1/2016,3.9
12/1/2016,4
1/1/2017,5.2
2/1/2017,5.2
3/1/2017,4.7
4/1/2017,4.3
5/1/2017,4.4
6/1/2017,4.4
7/1/2017,4.7
8/1/2017,4.5
9/1/2017,4
10/1/2017,4
