row_index,sale_year,sale_month,sale_day,sale_quarter,list_year,town_encoded,house_number,has_unit,zipcode,longitude,latitude,year_built,stories,total_bedrms,total_bthrms,living_area_sqft,style_encoded,fiscal_year_end_june30,mortgage30us,cpi_cuur0100sa0,unemployment_rate,housing_supply_actliscouct,mill_rate,gdp_real_estate,home_age_at_sale,living_area_sqft_log1p,sale_amount_log1p
0,2016,11,28,4.0,2016.0,46,311.0,0,6514.0,-72.9463819,41.3599872,1948.0,1.5,3.0,2.0,1430.0,120.0,2017.0,4.03,256.541,3.9,20373.0,,34944.3,68.0,7.266128779556451,12.28535044535166
1,2014,1,10,1.0,2013.0,37,74.0,0,6824.0,-73.2584768,41.1345136,1940.0,2.0,3.0,2.0,1378.0,30.0,2014.0,4.51,251.045,7.6,,23.93,35902.5,74.0,7.229113877793302,13.122365377402328
2,2017,10,24,4.0,2017.0,55,424.0,0,6371.0,-72.3403561,41.4062739,1953.0,1.0,2.0,2.0,1272.0,82.0,2018.0,3.88,260.58,4.0,19296.0,18.25,35485.1,64.0,7.149131598557407,12.873904582205109
3,2019,12,9,4.0,2019.0,37,35.0,0,6824.0,-73.3205892,41.1711249,1978.0,2.0,4.0,3.0,3328.0,30.0,2020.0,3.68,270.429,3.1,13335.0,,37215.4,41.0,8.110427237575024,13.617060838751888
4,2014,4,30,2.0,2013.0,37,41.0,0,6824.0,-73.2407632,41.138743,2006.0,2.0,4.0,3.0,3737.0,33.0,2014.0,4.33,252.506,6.3,,23.93,35902.5,8.0,8.226305988015508,14.322328762742185
5,2016,6,1,2.0,2015.0,12,35.0,0,6010.0,-72.9465664,41.6856326,1986.0,1.0,3.0,1.0,1304.0,100.0,2016.0,3.64,255.471,5.0,,34.61,34944.3,30.0,7.173958319756794,11.951186847493476
6,2008,9,23,3.0,2007.0,46,153.0,0,6517.0,-72.9045384,41.3563258,1949.0,2.0,4.0,1.0,1726.0,30.0,2009.0,5.78,232.841,5.7,,,32053.5,59.0,7.454141078146678,12.495007682693725
7,2018,8,14,3.0,2017.0,63,770.0,0,6460.0,-73.0272415,41.2113829,2018.0,1.0,4.0,3.0,2523.0,69.0,2019.0,4.59,266.425,3.9,19000.0,27.74,35023.1,0.0,7.833600223661103,12.923670946108873
8,2018,5,21,2.0,2017.0,80,30.0,0,6360.0,-72.082776,41.5767893,1968.0,1.0,3.0,2.0,1190.0,100.0,2018.0,4.61,265.84,3.8,17506.0,,35023.1,50.0,7.0825485693553,12.031725210748633
9,2020,6,9,2.0,2019.0,46,53.0,0,6517.0,-72.9113521,41.3612745,1925.0,2.25,3.0,2.0,1362.0,30.0,2020.0,3.18,272.283,11.4,10225.0,,37034.6,95.0,7.217443431696533,12.59473402514672
